CREDIT	INCOME
199879 	14423 
314900 	63240 
100000 	35700 
114750 	19369 
31126 	14280 
144118 	0 
192824 	30600 
145250 	0 
450000 	0 
97830 	15300 
232706 	26857 
22750 	15300 
537800 	51000 
134125 	0 
31126 	13260 
44375 	40800 
173771 	30600 
104438 	16320 
166705 	29580 
269875 	35700 
208061 	26520 
528861 	37783 
55604 	10200 
66900 	20400 
225156 	12621 
142235 	35700 
116869 	10468 
145933 	32640 
200000 	20400 
57910 	12240 
285808 	35663 
78800 	6528 
120118 	0 
200000 	0 
336800 	0 
110000 	0 
257882 	0 
221600 	51000 
197250 	20400 
131529 	17793 
339900 	81600 
55945 	13260 
129294 	26260 
49990 	20400 
263183 	71400 
109500 	35700 
77564 	22542 
27474 	0 
185000 	23460 
219000 	18277 
204283 	0 
66235 	19082 
185388 	11220 
188118 	35190 
42433 	30600 
200000 	71400 
201689 	11220 
169101 	31019 
334800 	44515 
120500 	30879 
128344 	23481 
135182 	35700 
221635 	0 
157250 	0 
210118 	49980 
218000 	0 
36245 	17340 
530471 	70336 
181077 	16320 
137843 	24480 
118534 	20400 
367000 	52658 
250000 	25328 
220800 	0 
67165 	0 
272730 	28812 
166586 	16320 
161100 	25500 
131282 	41820 
140178 	14280 
311266 	20400 
85570 	10863 
534300 	102000 
79529 	0 
29058 	7650 
25789 	0 
48400 	0 
183412 	19380 
222700 	21420 
338100 	40800 
52890 	21769 
414900 	183600 
300900 	32727 
180900 	45900 
184588 	0 
70947 	0 
75623 	14280 
235000 	30600 
609176 	0 
55221 	21420 
113900 	34170 
184125 	0 
79875 	25500 
173941 	32640 
234353 	25500 
91520 	19005 
724100 	124079 
272625 	0 
133711 	9180 
88000 	7140 
336295 	56100 
103380 	20400 
167588 	32756 
78706 	23460 
376125 	51000 
177375 	30609 
115537 	18360 
95338 	0 
163113 	42840 
284000 	28560 
169255 	56100 
219950 	44210 
300000 	28560 
199882 	67940 
78647 	30957 
63701 	11220 
191000 	0 
70032 	19380 
184471 	28560 
178690 	30600 
32526 	0 
71031 	8160 
233100 	19324 
22000 	0 
274771 	15300 
54235 	0 
94345 	26520 
106211 	0 
116703 	31620 
181059 	20400 
179300 	45900 
206200 	19531 
95927 	25500 
229900 	19043 
50051 	42432 
243556 	34680 
39498 	13770 
217800 	0 
299900 	29580 
190400 	35700 
135448 	12240 
450900 	71400 
74472 	10710 
190353 	15300 
87000 	22440 
383900 	27540 
147663 	16320 
84750 	18203 
178600 	22542 
113317 	11628 
104500 	0 
149090 	35700 
190810 	20400 
39399 	10506 
196433 	176427 
69144 	20400 
236353 	35700 
120941 	25500 
75118 	30600 
136125 	20400 
179192 	38543 
116647 	21420 
53153 	25500 
66703 	24480 
149699 	25500 
124588 	30600 
87790 	11424 
161296 	52275 
147875 	30600 
80798 	7140 
392900 	0 
61263 	0 
75474 	75883 
177529 	0 
200000 	27540 
92230 	18360 
34526 	0 
113718 	25500 
24000 	0 
183647 	0 
120900 	35700 
118706 	0 
199041 	15300 
60105 	25500 
135529 	0 
55900 	38760 
41053 	0 
354100 	0 
1000000 	0 
73579 	42064 
200000 	21420 
285300 	0 
338975 	0 
138625 	19890 
22307 	7446 
275938 	20740 
123972 	11424 
113206 	25847 
139647 	15167 
110418 	7446 
301125 	44751 
200177 	12240 
222400 	122400 
61153 	14280 
184000 	33660 
115778 	32640 
66941 	20400 
338600 	0 
149294 	43860 
42235 	0 
242700 	0 
62118 	16310 
